Unnamed: 0,B07YK2L7CW,Clothing & Accessories > Women > Ethnic Wear > Chunnis & Dupattas,Traditions Bazaar Art Silk Solid Color Women Dupatta,999,299.00,FREE delivery,Unnamed: 7,3.8,0.0,350 ratings,Unnamed: 11,Unnamed: 12,Unnamed: 13,225 x 100 x 0.1 cm,D-MC,Unnamed: 16,27 September 2019,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,https://m.media-amazon.com/images/I/41aHwakY0CL.jpg,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,https://www.amazon.in/Traditions-Bazaar-Banarasi-Solid-Dupatta/dp/B07YK2T13C,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,"Tuesday, 27 February"," 
 This beautiful solid coloured banarasi dupatta with zari border on four sides is perfect for all occasions  ",StoreName,Asin,Category,Title,MRP,Price,ShippingPrice,Manufacturer,StarRating,IsPrime,CustomerReview,Weight,Color,Size,PackageDimensions,ItemModelNumber,Department,DateFirstAvailable,BestSellersRank1,BestSellersRank2,BestSellersRank3,BulletPoint1,BulletPoint2,BulletPoint3,BulletPoint4,BulletPoint5,BulletPoint6,BulletPoint7,BulletPoint8,BulletPoint9,BulletPoint10,ImageURL1,ImageURL2,ImageURL3,ImageURL4,ImageURL5,ImageURL6,ImageURL7,ImageURL8,ImageURL9,ImageURL10,ProductUrl,VedioLink1,VedioLink2,VedioLink3,VedioLink4,DeliveryTime,Description
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yugam Green,B0BG4W4LGZ,Pet Supplies > Fish & Aquatics > Aquarium Accessories > Pumps & Filters > Air Pumps,Talinoz Aquarium Air Pump Silent for Fish Tank Noiseless Filter Oxygen Pump with 2 Air Outlets Upto 300 L,"2,000",849.00,FREE delivery,,4.5,0.0,6 ratings,510 g,,,,,,,"9,734 in Pet Supplies (See Top 100 in Pet Supplies)",95 inAir Pumps (Pet Supplies),,"Aquarium air pump : Material: Plastic with steel, Color: White, Size: 12*7*6 cm, Capacity: 2x1.5 litres/minute. Power: 4 W, Pressure: 0.012MPa, Volt: 220-240 V, Frequency: 50 Hz. Suitable for aquarium fish tank size:300 Liters.Perfectly suitable for using at all kinds of aquarium, aquaculture oxygenation, spout decoration.","Aquarium Airline Tube: Material: silicone, Color: transparent, Length: 2 Meter, Inner Diameter: 3mm Outer Diameter: 5mm. The aquarium hose fit all standard outlets, including aquarium air pump silent, check valves, filtration system, air stones, air flow control levers, and aquarium ornaments. Safe for fish and good for fresh or salt water environments.","Aquarium Air Stone: Material : Mineral, Plastic; Color : Grey; Size: Approx. 3.5*2cm(D*H).Suitable for inner diameter 4mm soft tube.With high temperature interring, the stones are sturdy and durable, have high dissolved oxygen rate and create even and tiny bubbles rather than a limited number of large ones. Before use, please immerse it in the water for 15 minutes.Suitable for aquarium, fish tank and hydroponics.","Aquarium Control Valve: Material: Plastic, Two-Way Plastic Valve can be used as an in-line valve to control air flow from pump.Fits standard air line tubing aquarium and Co2 tubing with inner diameter about 3 mm.","Package Includes: :1 x 2 way air pump, 2 Aquarium Air Stones (random color), 1 Aquarium controller, 2 Meter Aquarium tube",,,,,,https://m.media-amazon.com/images/I/71r6s55dSVL._SX466_.jpg,https://m.media-amazon.com/images/I/71r6s55dSVL._SY450_.jpg,https://m.media-amazon.com/images/I/71r6s55dSVL._SX679_.jpg,https://m.media-amazon.com/images/I/71r6s55dSVL._SX522_.jpg,https://m.media-amazon.com/images/I/71r6s55dSVL._SY355_.jpg,https://m.media-amazon.com/images/I/71r6s55dSVL._SX569_.jpg,https://m.media-amazon.com/images/I/71r6s55dSVL._SX425_.jpg,,,,https://www.amazon.in/TALINOZ-Aquarium-Outlets-Controller-LineTube/dp/B0BG4W4LGZ,,,,,"Thursday, 29 February"," 
 Color: White. Capacity: 2x1.5 litres/minute. Power: 4 W. Volt: 220-240 V. Frequency: 50 Hz. which is safe, durable. Using advanced air compression system and damping system, multi-level noise reduction.  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocoblu Retail,B0B51VWPPX,Clothing & Accessories > Women > Lingerie > Bras > Everyday Bras,TRYLO KPL Women's Cotton Non-Padded Bra Black/Black Currant/Butter SCOT/Coral/MARUN/Rasberry/Rose Gold/Nude/Sapphire/Skin/White 30 to 40 Available Cups C to I,435,409.00,FREE delivery,,4.1,0.0,899 ratings,,,,30 x 10 x 3 cm,,,24 June 2022,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41E--vMNHWL.jpg,,,,,,,,,,https://www.amazon.in/TRYLO-KPL-Non-Padded-Rasberry-Available/dp/B0CGZLMLF3,,,,,"Tuesday, 27 February"," 
 KPL is a 100 % cotton bra designed for full cover and X support. For perfect comfort and fit the bra is crafted from a superior quality skin friendly cotton fabric. The broad elastic used in Krutika Plain helps to support the bust in perfect shape and that is what every women looks for in a bra. No wire and no padding just add to the comfort and cushioned straps give you relief of irritation. Krutika Plain is a great product for daily wear irrespective of the season.  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thynkcue Brands,B0CCS59P6D,Home & Kitchen > Kitchen & Dining > Kitchen Storage & Containers > Lunch Boxes,10Club Lunch Box - 1.2L | Stainless Steel | Three Compartments Lunch Box for Office | Airtight Lid,"1,599","1,199.00",FREE delivery,‎10,2.8,0.0,26 ratings,‎490 Grams,,,,,,,"84,806 in Home & Kitchen (See Top 100 in Home & Kitchen)","1,061 inLunch Boxes",,AIRTIGHT: The lid features an airtight button that helps keep your food fresh and flavourful for longer periods of time.,"SMOOTH FINISH: The smooth, durable plastic is easy to clean, looks beautiful, and won't scratch easily.",BPA-FREE: Made with BPA-free material to help keep you toxin-free and safe.,,,,,,,,https://m.media-amazon.com/images/I/71+kBoS0uKL._SX466_.jpg,https://m.media-amazon.com/images/I/71+kBoS0uKL._SY450_.jpg,https://m.media-amazon.com/images/I/71+kBoS0uKL._SX679_.jpg,https://m.media-amazon.com/images/I/71+kBoS0uKL._SX425_.jpg,https://m.media-amazon.com/images/I/71+kBoS0uKL._SX522_.jpg,https://m.media-amazon.com/images/I/71+kBoS0uKL._SY355_.jpg,https://m.media-amazon.com/images/I/71+kBoS0uKL._SX569_.jpg,,,,https://www.amazon.in/10Club-Lunch-Box-Stainless-Compartments/dp/B0CCS59P6D,,,,,"Thursday, 29 February"," 
 10Club is an India-first brand that has something to add to every room of your home. From tableware to towels, baby nursery to bed linen, gardening shears to gym mats, and storage solutions of all sizes, we prioritise the little things you use every day. We?ve spent time and effort making sure they don?t break, tear, chip, or go out of shape. This is why we stand for quality in your home - useful, durable and beautiful. Take. Us. Home  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SWILAK,B0CPSM1LCY,Home & Kitchen > Kitchen & Dining > Tableware > Dinnerware & Serving Pieces > Dinnerware > Plates > Dinner Plates,"SWILAK Pink Heart Shaped Plates, Plastic Snakes Plates, Side Dish Plates Plastic, Seasoning Dishes, Breakfast Plates, Plates for Dessert, Salad, Fruits, Cake, Plate Elegant for Home Kitchen (Dish 5)",999,299.00,FREE delivery,‎SWILAK,4.1,0.0,8 ratings,‎0.16 Kilograms,,,,,,,"115,691 in Home & Kitchen (See Top 100 in Home & Kitchen)","4,116 inDinnerware",,"【Cute & Novelty】 Heart shape dipping saucers are designed with five fresh and soft purple color, adding a beautiful touch to the dining table, increase your appetite, and bid farewell to the boring tableware.","【Reliable Material】 Small snack dishes are made of wheat straw fiber and PP materials, which can be reused and healthy. It is the best choice for you and your family.",【Light & Durable】 Mini dessert bowls are sturdy and will not be easily broken if accidentally dropped. Also lightweight to hold. A friendly alternative to ceramic ones.,【Easy to Clean & Stack】 Plastic side dish plates reusable are easy to clean with dishwasher or hand. Can be stacked neatly in the cabinet for space saving storage.,"【Multiple Uses】 5 Pack mini dipping sauces bowls perfectly hold snacks, dessert, salad, fruits, side dish, soy sauce, appetizers, etc. Suitable for family gathering, holiday parties or daily meals. Length: 6.1in/15.5cm, Height: 1 in/2.5cm.",,,,,,https://m.media-amazon.com/images/I/41W5scimTnL._SX569_.jpg,https://m.media-amazon.com/images/I/41W5scimTnL._SX522_.jpg,https://m.media-amazon.com/images/I/41W5scimTnL._SY450_.jpg,https://m.media-amazon.com/images/I/41W5scimTnL._SY355_.jpg,https://m.media-amazon.com/images/I/41W5scimTnL._SX425_.jpg,https://m.media-amazon.com/images/I/41W5scimTnL._SX466_.jpg,https://m.media-amazon.com/images/I/41W5scimTnL.jpg,,,,https://www.amazon.in/SWILAK-Plastic-Seasoning-Breakfast-Dessert/dp/B0CPSM1LCY,,,,,"Thursday, 29 February","Amazon.in: Buy SWILAK Pink Heart Shaped Plates, Plastic Snakes Plates, Side Dish Plates Plastic, Seasoning Dishes, Breakfast Plates, Plates for Dessert, Salad, Fruits, Cake, Plate Elegant for Home Kitchen (Dish 5) online at low price in India on Amazon.in. Free Shipping. Cash On Delivery"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miraan,B0CP91YGW7,Clothing & Accessories > Women > Ethnic Wear > Salwar Suits,Miraan Cotton Printed Readymade Salwar Suit For Women (BANDCOLOR8022),"3,778",859.00,FREE delivery,,3.6,0.0,268 ratings,,,,36 x 30 x 2 cm,,,1 December 2023,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41DGZnnHZwL.jpg,,,,,,,,,,https://www.amazon.in/Miraan-Cotton-Printed-Readymade-BANDCOLOR8022/dp/B091KSJFLV,,,,,"Friday, 1 March",Miraan Cotton Printed Readymade Salwar Suit For Women (BANDCOLOR8022M_Yellow_Medium) : Amazon.in: Fashion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0CHMDPPYN,Clothing & Accessories > Women > Ethnic Wear > Kurtas & Kurtis,Women Floral Print Anarkali Kurta with Pant and Dupatta,,749.00,,,3.2,0.0,526 ratings,,,,14 x 12 x 3 cm,,,8 September 2023,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41UtqHb3YhL.jpg,,,,,,,,,,https://www.amazon.in/Women-Floral-Anarkali-Kurta-Dupatta/dp/B0CHMCGC6Z,,,,,," 
 Product Color May Slightly Vary Due To Photographic Lighting Sources Or Your Monitor Settings  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaanvi fashion,B09NGSLRV5,Clothing & Accessories > Women > Ethnic Wear > Sarees,Jaanvi fashion Women's Banarasi Paithani Silk With Zari Jacquard Work Saree With Blouse Piece,"5,000","1,599.00",FREE delivery,,3.9,0.0,55 ratings,,,,31.1 x 25.6 x 4.4 cm,,,11 December 2021,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51xZwB38pKL.jpg,,,,,,,,,,https://www.amazon.in/Jaanvi-Fashion-Banarasi-Paithani-Jacquard/dp/B09NH1WJBD,,,,,"Wednesday, 28 February",Jaanvi fashion Women's Paithani Silk With Zari Jacquard Work Saree With Blouse Piece(royal-paithani-pink-green) : Amazon.in: Fashion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RetailEZ Pvt Ltd,B09B2FD78L,Clothing & Accessories > Women > Accessories > Sport Headbands,"Boldfit Gym Headband for Men and Women - Sports Headband for Workout & Running, Breathable, Non-Slip & Quick Drying Head Bands for Long Hair",599,150.00,FREE delivery,‎Boldfit,4.0,0.0,"2,116 ratings",33 g,,,,,,22 July 2021,,,,Keeps Sweat Away From Eyes: Boldfit sweat band for men are designed with elastic band closure with extremely smooth texture that efficiently wicks sweat and stay comfortable after wearing for a long time. No more worries of your sweat coming down your face and neck when using this head band for men.,One Size Fits All: The sports hair band show unisex design and perfect one-size-fits-all technology to fit snug and stays in place. The high stretchable to fit all for head circumference about 20.5in to 23.6in. Great for long and short Hair.,"Max Comfort: Between our lightweight, soft, and breathable fabric and our grip strip to keep your headband for women gym securely in place, we can assure that our head band will be the MOST COMFORTABLE solution you've tried. The inner strip is designed to be low profile which means it won't leave a mark or become annoying over time.","Multifunctional: Boldfit headbands for men and women is ideal for yoga, running, working out, exercise, marathons, fitness, baseball, football, tennis, gym.","Stylish Design: Not only keeps your hair out of your face, you can also style the headband to suit your mood, hairstyle and activities. It’s fully reversible, so you can flip it over to create your own styles, even use it as a neck warmer or scarf outside of the gym in winter.",,,,,,https://m.media-amazon.com/images/I/71nBw7m1daL._SX679_.jpg,https://m.media-amazon.com/images/I/71nBw7m1daL._SX425_.jpg,https://m.media-amazon.com/images/I/71nBw7m1daL._SX466_.jpg,https://m.media-amazon.com/images/I/71nBw7m1daL._SY355_.jpg,https://m.media-amazon.com/images/I/71nBw7m1daL._SX522_.jpg,https://m.media-amazon.com/images/I/71nBw7m1daL._SY450_.jpg,https://m.media-amazon.com/images/I/71nBw7m1daL._SX569_.jpg,,,,https://www.amazon.in/Boldfit-Gym-Headband-Women-HeadBandBlack/dp/B09B2BRGPQ,,,,,"Wednesday, 28 February","Boldfit Nylon Gym Headband for Men and Women - Sports Headband for Workout & Running, Breathable, Non-Slip & Quick Drying Head Bands for Long Hair (Black), One Size (Headbandblack) : Amazon.in: Clothing & Accessories"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloudtail India Online,B09Q1H6BLY,"Home & Kitchen > Kitchen & Dining > Tableware > Glassware & Drinkware > Cups, Mugs & Saucers > Tea Sets","Clay Craft Ceramic Elegant Gold Line Coffee/Tea Cups Set of 12 Perfect for Daily Use 180 Ml, White, Standard (Asian-Set of 12)","1,438","1,294.00",FREE delivery,‎Clay Craft India Pvt. Ltd,4.1,0.0,333 ratings,500 g,,,,,,,"6,058 in Home & Kitchen (See Top 100 in Home & Kitchen)",39 inTeapots & Coffee Servers,"62 inCups, Mugs & Saucers",Package Contents - 12 Cups,Volume - 180 ml; Diameter- 5.7 cm,Do not use in Microwave. Dishwasher Safe,Material - Fine Ceramic,Glossy Finish,Chip Resistant,,,,,https://m.media-amazon.com/images/I/311nq5ysvDL._SX355_.jpg,https://m.media-amazon.com/images/I/311nq5ysvDL._SX466_.jpg,https://m.media-amazon.com/images/I/311nq5ysvDL._SX425_.jpg,https://m.media-amazon.com/images/I/311nq5ysvDL._SX522_.jpg,https://m.media-amazon.com/images/I/311nq5ysvDL._SX450_.jpg,https://m.media-amazon.com/images/I/311nq5ysvDL._SX679_.jpg,https://m.media-amazon.com/images/I/311nq5ysvDL._SX569_.jpg,,,,https://www.amazon.in/Clay-Craft-12-Standard-Asian-Set/dp/B09Q1H6BLY,,,,,"Friday, 1 March"," 
 About Clay Craft (India) Pvt Clay Craft® is India's No. 1 in Tableware products, awarded as Superbrand for the year 2019-20. Superbrand accolades only to the best brand in the industry. You can be assured that you are selecting the best when you are buying Clay Craft. Clay Craft® has been in business since 1994. We are ISO: 9001:2008 certified and are proud of our reputation as a company who places a high level of importance on quality and customer satisfaction. Clay Craft is crockery manufacturers that offer ceramic tableware in a variety of styles, sizes, and colors. Our line of fine tableware can be used for special occasions, and we have ceramic tableware for everyday dining, too. We hope you will browse our selection and find something that's perfect for a gift, for your home, or for your own dish collection. Enhance your tea or coffee experience with these unique styled and Coffee/Milk mugs, Teacups, and saucer sets of 4/6 with your family or friends. Featuring an attractive and stylish design-milk mug from Clay Craft. These coffee/ milk mugs are best for serving tea, coffee, milk, hot chocolate, green tea, black tea, black coffee, Milkshake, Chocolate milk, Lassi, and other hot beverages. These coffee/milk mugs would be a wonderful addition to your home. It's a beautiful gift for your loved ones and A Perfect Gift for Any Occasions like Raksha Bandhan Gift, Christmas gift, couple gifts for anniversary or husband and wife, birthday gift for sisters and brothers, farewell gifts for colleagues, unique gifts for girls and boys, gift ideas for women, coffee mug for men and women’s, birthday gifts for girls and boys, Mother's Day, Father's Day, Women's Day, Teacher's Day, Rakhi, Diwali, Corporate, Official, etc. These Ceramic Unique Stylish Bone China White Clear Official Latest Design Cup Saucer Sets of 6 200ml, Coffee Mugs 400ml Set of 2, Teacup Set of 6 300ml are made for a great gift that will surely spark a smile on anyone's face. Clay Craft products make you happy by drinking a hot cup of your favorite beverage in this coffee mug. Dishwasher Safe, Microwave and Oven Safe, Freezer Safe, Non-Toxic, Reusable, Odorless and crafted from ceramic material, which gives it a nice finish. Chip resistant, made with fine bone china, beautiful and attractive colorful designs, nice packing, available in major stores. Our products are made up of material. It is easy to use and it is easy to maintain. Features: Material: Ceramic Design: Attractive Multicolour Microwave Safe (all products without gold/silver design) Dishwasher Safe (all products without gold/silver design) Freezer Safe (all products without gold/silver design) Environment Friendly, Food Grade, Toughened Extra Strong Ceramic, Durable Scratch resistance Super white and super light Made in India  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHRUV APPARELS,B07PPHWZLG,Clothing & Accessories > Men > Sportswear > Track Pants > Track Pants,MARK LOUIIS Men's Straight Fit Track pants,"1,270",749.00,FREE delivery,,3.9,0.0,846 ratings,,,,23.1 x 12.6 x 7.6 cm,ML-NL-TRP,,12 March 2019,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/315I62ZWaOL.jpg,,,,,,,,,,https://www.amazon.in/MARK-LOUIIS-Regular-Running-Pocket/dp/B07PNC2HG3,,,,,"Saturday, 2 March"," 
 Shop from a wide range of Trackpants from MARK LOUIIS. Perfect for your everyday use, you could pair it with a stylish t-shirt or shirt complete the look.  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clicktech Retail,B0C3MKVLTR,Home Improvement > Hardware > Bathroom Hardware > Towel Rings,"ALTON BTA30100, Stainless Steel, Towel Ring/Napkin Ring/Napkin Holder/Towel Hanger/Bathroom Accessories (Chrome)",600,349.00,FREE delivery,‎ALTON,4.1,0.0,17 ratings,‎250 Grams,,,,,,,,,,"Material: Stainless Steel, Finish: Chrome","Package Content: 1-Piece Towel Ring, 1-Piece Installation Accessories","Set apart from typical modern design by its divergence from cool,soft contemporary solution for a modern space. Sometimes accessories make all the difference and that's why Alton offers a variety of bath accessory items. From towel bars to robe hooks, we've got what you want. Includes mounting hardware for an easy weekend DIY project.","Complete the look of your bath with this Alton bathroom accessories. Alton makes installation a breeze for the weekend DIYer by including all mounting hardware and easy-to-understand installations. You can install with confidence, knowing that Alton backs its bath hardware with 1-Year Warranty.",,,,,,,https://m.media-amazon.com/images/I/6118Um-Tp0L._SX466_.jpg,https://m.media-amazon.com/images/I/6118Um-Tp0L._SY450_.jpg,https://m.media-amazon.com/images/I/6118Um-Tp0L._SX679_.jpg,https://m.media-amazon.com/images/I/6118Um-Tp0L._SX522_.jpg,https://m.media-amazon.com/images/I/6118Um-Tp0L._SY355_.jpg,https://m.media-amazon.com/images/I/6118Um-Tp0L._SX569_.jpg,https://m.media-amazon.com/images/I/6118Um-Tp0L._SX425_.jpg,,,,https://www.amazon.in/ALTON-BTA30100-Stainless-Bathroom-Accessories/dp/B0C4YWB5HX,,,,,"Tuesday, 27 February"," 
 Browse a large offering of Alton bathing accessories in a variety of finishes to enhance your bathroom?s design. Find bathroom accessories to enhance not only the look and feel of your bathroom but also the function. Choose from Towel Rack, Towel Rail, Towel Ring, Soap Dish, Tumbler Holder, Toilet Paper Holder, soap dispenser, glass selves, Robe Hook and other fixtures.  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocoblu Retail,B0C9HT21C9,Clothing & Accessories > Women > Ethnic Wear > Kurtas & Kurtis,Stylum Women's Self Woven Kantha Cotton Cord Set,"2,599",799.00,FREE delivery,,3.7,0.0,590 ratings,,,,30 x 10 x 3 cm,BLUEKATHACORD40,,27 June 2023,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41mEf+keGEL.jpg,,,,,,,,,,https://www.amazon.in/Stylum-Womens-Woven-Kantha-Cotton/dp/B0BTYVYTNM,,,,,"Tuesday, 27 February"," 
 katha woven cotton top and pant with embroidery on neckline. Products Top length - 30' Inch, Pant length - 38' Inch. Pair it with flats or heels to flaunt yourself.  "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kosmochem Home Healthcare,B09R4T86VR,Health & Personal Care > Home Medical Supplies & Equipment > Living & Safety Aids > Bathroom Aids & Safety > Grab Bars,"KosmoCare 304 Grade Stainless Steel Grab Bar, Wall Mounted Safety Straight Grab Bar for Bathroom | Grab Bars for Toilet Senior Citizens | Toilet Grab bar for Elderly (24-inch Length - Pack of 2)","2,900","2,290.00",FREE delivery,‎Kosmochem Pvt Ltd,4.3,0.0,70 ratings,1 kg 600 g,,,,,,,"7,614 in Health & Personal Care (See Top 100 in Health & Personal Care)",7 inGrab Bars,,"100% 304 STAINLESS STEEL GRAB BAR: Made of high-grade stainless steel - SS304, the grab bar is durable and corrosion-resistant, easy to clean, and can be placed in most shower areas. It can withstand heavy water usage areas without rusting.","SMOOTH SATIN FINISH: The smooth satin finish seamlessly blends with any home décor. The mat finish makes the handle slip-resistant and also gives an elegant look, it fits effortlessly into any part of the house.",STURDY & SECURE: Inner fixation tube made of brass ensures durability and an extremely strong hold on the wall when affixed correctly. Concealed mounting and snap flange provide a stable and reliable handhold. Toilet grab bar handles can support up to 100 kgs.,"3 YEAR REPLACEMENT WARRANTY: KosmoCare 304 stainless steel grab bar comes with an unmatched 3 Year free replacement warranty. Each 24” grab bar has a diameter of 25 mm and includes 6 SS screws, 2 inch flanges, and a 4-hole flange design for stud installation. All fittings are made from stainless steel for long-lasting durability.","MULTIPURPOSE USAGE: This toilet support is suitable for everyone - Elderly, Pregnant women, Kids, Differently-abled, etc. It has a wide range of application areas - bathrooms, toilet commode, shower area, passage areas, stairways, etc.",,,,,,https://m.media-amazon.com/images/I/81HCbWRhaDL._SX569_.jpg,https://m.media-amazon.com/images/I/81HCbWRhaDL._SY355_.jpg,https://m.media-amazon.com/images/I/81HCbWRhaDL._SY450_.jpg,https://m.media-amazon.com/images/I/81HCbWRhaDL._SX679_.jpg,https://m.media-amazon.com/images/I/81HCbWRhaDL._SX522_.jpg,https://m.media-amazon.com/images/I/81HCbWRhaDL._SX425_.jpg,https://m.media-amazon.com/images/I/81HCbWRhaDL._SX466_.jpg,,,,https://www.amazon.in/KosmoCare-P_304-Grab-Bar-SS304/dp/B09NQ4B853,,,,,"Tuesday, 27 February","KosmoCare 304 Grade Stainless Steel Grab Bar, Wall Mounted Safety Straight Grab Bar for Bathroom | Grab Bars for Toilet Senior Citizens | Toilet Grab bar for Elderly (24-inch Length - Pack of 2) : Amazon.in: Health & Personal Care"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cocoblu Retail,B00PV95RCQ,Home & Kitchen > Craft Materials > Drawing Materials > Art Paper > Watercolour Paper,Fabriano Studio Watercolor Blocks CP 300 GSM 18 X 24 cm,867,694.00,FREE delivery,"‎Fabriano, Fabriano",3.6,0.0,12 ratings,70 g,,,,,,20 November 2014,"16,714 in Toys & Games (See Top 100 in Toys & Games)",100 inWatercolour Paper,"1,498 inArts & Crafts","Blocks are glued on 4 sides. Very economical, paper is perfect for the students of fine arts schools and beginners & emerging artist.","A professional-grade paper,constructed of 25% cotton and lignin-free cellulose, with a cold press surface.","It is acid free, and internally and externally sized.","Ideal for watercolour, tempera, gouache, acrylic, ink and drawing.",Contains 20 Sheets.,,,,,,https://m.media-amazon.com/images/I/51ll1xBWDLL._SX355_.jpg,https://m.media-amazon.com/images/I/51ll1xBWDLL._SX450_.jpg,https://m.media-amazon.com/images/I/51ll1xBWDLL._SX425_.jpg,https://m.media-amazon.com/images/I/51ll1xBWDLL._SX466_.jpg,https://m.media-amazon.com/images/I/51ll1xBWDLL.jpg,,,,,,https://www.amazon.in/Fabriano-Studio-Watercolor-Blocks-300/dp/B00PV95RCQ,,,,,"Sunday, 3 March"," 
 The paper makers at Fabriano realize that students cannot afford premium papers, but need the quality in order to learn proper technique. The Fabriano Watercolour paper is made of a valuable mixture of lignin free cotton and cellulose. The absence of acid guarantees the inalterability over time of the paper. Produced with 100% of E.C.F. pulp (Elemental Chlorine Free), F.S.C. certified (1996 Forest Stewardship Council A.C.) from forests responsibly managed respectful of environmental, social and economic standards. It is sized internally and externally, guaranteeing optimal absorbance. The quality/price ratio of this paper guarantees an exceptional offer for students of fine arts schools and beginners. Ideal for watercolour, tempera, gouache, acrylic, ink and drawing. The surface is cold press.  "
